Município;;2009;Pop.;2010;Pop.;2011;Pop.;2012;Pop.;2013;Pop.;2014;Pop.;2015;Pop.;2016;Pop.;2017;Pop.;2018;Pop.;Total
MANDURI;3528601;1;9.123;-;8999;-;9.047;-;9.101;2;9.464;2;9.529;2;9.592;2;9.653;1; 9.714 ;-;9.780;10
MARABÁ PAULISTA;3528700;17;5.996;15;4812;20;4.897;19;4.981;26;5.251;28;5.345;32;5.435;35;5.524;33; 5.611 ;30;5.757;255
MARACAÍ;3528809;2;13.710;3;13344;4;13.357;4;13.382;3;13.842;1;13.878;3;13.913;1;13.948;1; 13.981 ;1;13.967;23
MARAPOAMA;3528858;-;2.780;-;2633;-;2.663;1;2.693;-;2.818;-;2.852;-;2.885;-;2.917;-; 2.949 ;-;2.996;1
MARIÁPOLIS;3528908;-;3.896;1;3916;-;3.921;1;3.926;-;4.057;1;4.064;-;4.072;1;4.079;1; 4.087 ;1;4.077;6
MARÍLIA;3529005;74;225.938;74;216684;100;218.228;66;219.664;80;228.618;73;230.336;75;232.006;112;233.639;83; 235.234 ;91;237.130;828
MARINÓPOLIS;3529104;;2.158;;2113;;2.107;;2.101;;2.160;;2.155;;2.150;;2.145;; 2.140 ;;2.117;
MARTINÓPOLIS;3529203;32;25.533;18;24260;30;24.363;45;24.502;46;25.473;40;25.641;52;25.805;56;25.966;68; 26.123 ;71;26.289;458
MATÃO;3529302;18;78.222;14;76799;19;77.172;12;77.546;23;80.528;12;80.990;19;81.439;6;81.878;12; 82.307 ;15;82.702;150
MAUÁ;3529401;141;417.458;131;417281;164;421.184;180;425.169;174;444.136;208;448.776;176;453.286;174;457.696;187; 462.005 ;200;468.148;1735
MENDONÇA;3529500;2;4.217;1;4640;3;4.708;3;4.774;2;5.014;-;5.089;1;5.161;-;5.232;1; 5.302 ;1;5.413;14
MERIDIANO;3529609;-;3.929;-;3851;-;3.842;-;3.830;1;3.934;-;3.923;1;3.912;1;3.902;1; 3.892 ;-;3.848;4
MESÓPOLIS;3529658;-;1.767;-;1886;-;1.883;3;1.880;1;1.935;-;1.933;3;1.931;1;1.928;3; 1.926 ;-;1.910;11
MIGUELÓPOLIS;3529708;1;21.095;1;20442;2;20.561;-;20.668;4;21.471;5;21.602;-;21.728;6;21.852;6; 21.973 ;3;22.093;28
MINEIROS DO TIETÊ;3529807;1;12.334;1;12042;1;12.086;3;12.133;3;12.583;1;12.642;4;12.700;2;12.757;5; 12.812 ;1;12.849;22
MIRA ESTRELA;3530003;2;2.663;-;2827;-;2.837;-;2.854;1;2.968;1;2.988;1;3.007;-;20.409;-; 20.288 ;1;19.919;6
MIRACATU;3529906;13;23.801;15;20595;14;20.455;13;20.322;8;20.790;9;20.660;9;20.533;10;3.027;10; 3.045 ;10;3.066;111
MIRANDÓPOLIS;3530102;54;26.761;77;27475;52;27.602;78;27.717;57;28.758;75;28.902;65;29.043;79;29.181;95; 29.315 ;86;29.418;718
MIRANTE DO PARANAPANEMA;3530201;-;18.131;2;17064;8;17.124;5;17.187;2;17.820;2;17.901;4;17.979;4;18.056;1; 18.130 ;1;18.178;29
MIRASSOL;3530300;11;54.920;13;53809;10;54.211;11;54.618;21;56.910;11;57.390;13;57.857;12;58.314;11; 58.760 ;13;59.333;126
MIRASSOLÂNDIA;3530409;1;4.396;-;4295;-;4.338;1;4.379;1;4.574;-;4.622;2;4.668;1;4.714;-; 4.758 ;-;4.822;6
MOCOCA;3530508;14;68.718;16;66303;17;66.345;14;66.399;15;68.590;20;68.695;16;68.797;15;68.897;13; 68.994 ;11;68.788;151
MOGI DAS CRUZES;3530607;141;375.268;150;387241;162;392.195;156;396.468;164;414.907;156;419.839;195;424.633;179;429.321;182; 433.901 ;192;440.769;1677
MOGI-GUAÇU;3530706;31;139.836;31;137286;32;138.244;36;139.211;24;144.963;18;146.114;34;147.233;35;148.327;39; 149.396 ;39;150.713;319
MOGI-MIRIM;3530805;26;88.373;18;86244;24;86.892;19;87.266;12;90.558;22;91.027;17;91.483;17;91.929;18; 92.365 ;21;92.715;194
MOMBUCA;3530904;-;3.471;-;3266;-;3.278;1;3.291;1;3.411;-;3.426;1;3.441;4;3.456;2; 3.470 ;2;3.478;11
MONÇÕES;3531001;1;2.129;1;2134;-;2.138;1;2.144;1;2.219;2;2.227;-;2.235;-;2.242;-; 2.249 ;-;2.252;6
MONGAGUÁ;3531100;62;44.087;77;46310;84;47.152;83;47.984;74;50.641;70;51.580;92;52.492;94;53.384;138; 54.257 ;106;55.731;880
MONTE ALEGRE DO SUL;3531209;-;7.473;2;7148;-;7.216;-;7.278;-;7.593;1;7.665;-;7.736;-;7.804;-; 7.871 ;-;7.964;3
MONTE ALTO;3531308;12;45.895;9;46647;12;46.874;12;47.100;19;48.907;11;49.186;8;49.456;11;49.721;11; 49.979 ;15;50.216;120
MONTE APRAZÍVEL;3531407;3;21.015;4;21748;4;22.002;-;22.250;7;23.294;6;23.579;6;23.857;4;24.128;4; 24.393 ;5;24.794;43
MONTE AZUL PAULISTA;3531506;4;19.741;5;18931;1;18.883;2;18.838;6;19.376;4;19.339;3;19.304;6;19.268;2; 19.234 ;3;19.050;36
MONTE CASTELO;3531605;1;4.131;-;4063;-;4.061;1;4.060;-;4.187;1;4.187;1;4.188;-;4.189;1; 4.190 ;1;4.166;6
MONTE MOR;3531803;11;46.641;18;48971;27;49.840;28;50.702;17;53.488;32;54.462;21;55.409;19;4.509;16; 4.549 ;20;4.608;209
MONTEIRO LOBATO;3531704;;4.295;;4123;;4.159;;4.197;;4.381;;4.424;;4.467;;56.335;; 57.240 ;;58.765;
MORRO AGUDO;3531902;2;26.305;6;29127;7;29.399;-;29.673;4;30.991;1;31.310;6;31.620;4;31.923;12; 32.220 ;7;32.641;49
MORUNGABA;3532009;2;13.305;-;11775;-;11.912;-;12.050;3;12.621;1;12.779;1;12.934;1;13.085;1; 13.232 ;-;13.458;9
MOTUCA;3532058;2;4.691;1;4290;1;4.322;-;4.354;-;4.534;-;4.571;1;4.607;-;4.642;-; 4.676 ;-;4.720;5
MURUTINGA DO SUL;3532108;-;4.290;1;4186;-;4.203;-;4.219;-;4.375;-;4.395;-;4.415;-;4.434;-; 4.453 ;1;4.466;2
NANTES;3532157;2;2.662;-;2707;1;2.741;1;2.774;1;2.905;-;2.943;-;2.979;-;3.014;-; 3.049 ;1;3.103;6
NARANDIBA;3532207;-;4.167;-;4289;2;4.330;1;4.371;3;4.564;-;4.611;-;4.657;2;4.702;3; 4.746 ;3;4.809;14
NATIVIDADE DA SERRA;3532306;2;7.674;2;6681;1;6.657;4;6.637;-;6.821;1;6.803;1;6.786;2;6.770;-; 6.754 ;-;6.681;13
NAZARÉ PAULISTA;3532405;5;15.232;9;16413;1;16.568;3;16.717;7;17.451;3;17.625;2;17.794;2;17.959;3; 18.121 ;10;18.346;45
NEVES PAULISTA;3532504;3;9.114;4;8777;2;8.762;2;8.752;3;9.017;1;9.012;-;9.008;4;9.003;-; 8.999 ;1;8.936;20
NHANDEARA;3532603;-;10.771;2;10725;1;10.766;2;10.806;1;11.203;1;11.254;3;11.303;3;11.351;1; 11.398 ;1;11.427;15
NIPOÃ;3532702;4;4.103;2;4274;1;4.351;1;4.427;-;4.669;-;4.753;1;4.835;1;4.916;-; 4.994 ;-;5.126;10
NOVA ALIANÇA;3532801;-;5.140;-;5891;3;5.977;3;6.061;2;6.367;2;6.462;-;6.555;2;6.645;-; 6.733 ;-;6.875;12
NOVA CAMPINA;3532827;5;9.267;3;8515;2;8.609;-;8.700;-;9.100;3;9.205;3;9.307;1;9.406;3; 9.504 ;-;9.647;20
NOVA CANAÃ PAULISTA;3532843;-;2.172;-;2114;1;2.086;-;2.059;2;2.087;-;2.059;-;2.032;-;2.005;-; 1.978 ;1;1.911;4
NOVA CASTILHO;3532868;;1.122;;1127;;1.135;;1.146;;1.195;;1.206;;1.217;;1.228;; 1.239 ;;1.255;
NOVA EUROPA;3532900;2;10.092;-;9301;1;9.453;2;9.601;2;10.108;1;10.276;2;10.439;-;10.599;2; 10.755 ;-;11.013;12
NOVA GRANADA;3533007;3;18.683;-;19178;4;19.346;5;19.507;2;20.346;1;20.534;5;20.717;6;20.896;3; 21.071 ;2;21.307;31
NOVA GUATAPORANGA;3533106;-;2.184;-;2178;-;2.184;-;2.191;-;2.270;1;2.279;-;2.288;-;2.296;-; 2.304 ;-;2.308;1
NOVA INDEPENDÊNCIA;3533205;1;2.742;-;3072;-;3.145;1;3.220;-;3.423;-;3.507;1;3.588;-;3.667;-; 3.745 ;1;3.883;4
NOVA LUZITÂNIA;3533304;-;3.795;1;3441;1;3.494;1;3.546;-;3.728;1;3.787;-;3.843;-;5.421;1; 5.527 ;-;5.712;5
NOVA ODESSA;3533403;9;48.754;10;51278;7;51.946;11;52.627;12;55.229;11;56.008;14;56.764;10;3.899;10; 3.953 ;11;4.041;105
NOVAIS;3533254;-;3.974;1;4595;-;4.697;-;4.799;-;5.089;-;5.202;-;5.313;-;57.504;-; 58.227 ;-;59.371;1
NOVO HORIZONTE;3533502;3;36.271;11;36612;4;36.912;4;37.222;1;38.828;4;39.191;4;39.543;4;39.888;7; 40.225 ;3;40.680;45
NUPORANGA;3533601;-;7.004;-;6817;1;6.856;-;6.894;-;7.164;-;7.210;1;7.255;-;7.299;1; 7.341 ;-;7.386;3
OCAUÇU;3533700;1;4.341;-;4163;-;4.163;-;4.163;-;4.296;-;4.299;2;4.302;-;4.305;-; 4.308 ;1;4.287;4
ÓLEO;3533809;-;2.699;-;2673;1;2.648;-;2.625;1;2.676;-;2.652;-;2.628;3;2.605;-; 2.583 ;1;2.522;6
OLÍMPIA;3533908;15;50.602;10;49792;11;50.332;14;50.630;14;52.650;15;53.010;8;53.360;11;53.702;11; 54.037 ;11;54.406;120
ONDA VERDE;3534005;1;4.005;-;3884;-;3.920;-;3.956;-;4.128;-;4.169;2;4.209;-;4.248;1; 4.286 ;1;4.339;5
ORIENTE;3534104;2;6.382;-;6097;-;6.119;1;6.141;-;6.366;2;6.394;2;6.421;1;6.447;1; 6.473 ;-;6.487;9
ORINDIÚVA;3534203;-;5.406;2;5678;-;5.791;-;5.904;-;6.244;3;6.370;1;6.493;-;6.614;2; 6.731 ;1;6.935;9
ORLÂNDIA;3534302;4;37.534;4;39781;5;40.071;8;40.352;7;42.020;4;42.354;5;42.678;4;42.996;4; 43.306 ;13;43.687;58
OSASCO;3534401;363;718.646;310;666469;335;667.826;308;668.877;379;691.652;324;693.271;307;694.844;347;696.382;379; 697.886 ;414;696.850;3466
OSCAR BRESSANE;3534500;-;2.536;-;2539;2;2.536;1;2.535;2;2.614;-;2.614;2;2.615;2;2.615;-; 2.616 ;1;2.602;10
OSVALDO CRUZ;3534609;20;31.461;20;30917;19;31.014;28;31.109;14;32.229;18;32.353;25;32.475;29;32.593;22; 32.709 ;25;32.754;220
OURINHOS;3534708;34;104.542;38;103026;28;103.739;23;104.420;22;108.674;30;109.489;19;110.282;39;111.056;37; 111.813 ;42;112.711;312
OURO VERDE;3534807;-;8.162;2;7794;2;7.850;-;7.899;-;8.216;3;8.274;3;8.330;2;9.733;1; 9.897 ;1;10.177;14
OUROESTE;3534757;1;7.598;6;8406;2;8.567;-;8.725;2;9.215;3;9.392;2;9.564;1;8.386;4; 8.440 ;5;8.503;26
PACAEMBU;3534906;36;13.778;38;12934;47;13.280;56;13.333;56;13.829;44;13.896;69;13.961;74;14.024;112; 14.086 ;91;14.130;623
PALESTINA;3535002;2;11.354;2;11052;5;11.201;4;11.346;1;11.904;1;12.070;3;12.231;2;12.388;1; 12.542 ;2;12.786;23
PALMARES PAULISTA;3535101;4;11.742;-;10938;1;11.126;2;11.312;-;11.922;4;12.132;3;12.336;-;12.536;-; 12.730 ;1;13.058;15
PALMEIRA D'OESTE;3535200;1;9.706;-;9584;-;9.527;-;9.473;-;9.700;8;9.647;1;9.596;1;9.545;2; 9.496 ;1;9.340;14
PALMITAL;3535309;1;22.323;2;21257;5;21.223;3;21.260;4;21.987;-;22.041;-;22.094;3;22.146;7; 22.196 ;7;22.168;32
PANORAMA;3535408;7;14.577;3;14603;2;14.655;4;14.725;4;15.288;4;15.374;3;15.458;10;15.539;1; 15.619 ;6;15.690;44
PARAGUAÇU PAULISTA;3535507;18;44.685;24;42281;20;42.482;13;42.680;26;44.310;28;44.555;19;44.794;30;45.027;23; 45.255 ;12;45.455;213
PARAIBUNA;3535606;4;16.833;2;17384;1;17.417;1;17.446;1;18.040;1;18.083;2;18.125;4;18.166;1; 18.206 ;5;18.180;22
PARAÍSO;3535705;-;5.816;-;5907;-;5.934;-;5.969;-;6.207;-;6.249;-;6.290;-;6.330;-; 6.369 ;1;6.411;1
PARANAPANEMA;3535804;5;17.752;1;17810;6;17.984;3;18.155;1;18.965;-;19.164;2;19.357;3;19.545;3; 19.730 ;3;19.993;27
PARANAPUÃ;3535903;-;3.739;-;3815;-;3.829;-;3.843;-;3.983;1;4.001;1;4.018;1;4.035;-; 4.051 ;2;4.061;5
PARAPUÃ;3536000;5;11.402;-;10844;-;10.824;2;10.805;1;11.124;2;11.110;3;11.098;2;11.085;1; 11.073 ;2;10.980;18
PARDINHO;3536109;-;5.337;2;5582;1;5.647;2;5.711;5;5.979;2;6.051;-;6.122;2;6.191;2; 6.259 ;-;6.360;16
PARIQUERA-AÇU;3536208;9;18.918;7;18453;11;18.507;6;18.567;5;19.239;9;19.316;1;19.391;11;19.465;10; 19.537 ;11;19.570;80
PARISI;3536257;-;2.149;1;2032;-;2.038;-;2.045;-;2.118;-;2.126;-;2.134;2;2.142;2; 2.150 ;1;2.153;6
PATROCÍNIO PAULISTA;3536307;1;12.943;1;13002;-;13.122;2;13.240;-;13.821;-;13.959;-;14.093;-;14.223;2; 14.351 ;2;14.529;8
PAULICÉIA;3536406;2;5.791;2;6342;2;6.419;3;6.496;2;6.807;1;6.895;2;6.981;3;7.065;-; 7.147 ;-;7.274;17
PAULÍNIA;3536505;14;84.577;17;82150;12;84.512;24;86.800;26;92.668;23;95.221;19;97.702;29;100.128;25; 102.499 ;37;106.776;226
PAULISTÂNIA;3536570;-;1.909;-;1778;-;1.779;1;1.779;-;1.836;-;1.837;-;1.839;-;1.840;-; 1.841 ;-;1.832;1
PAULO DE FARIA;3536604;2;9.463;2;8589;-;8.598;2;8.607;1;8.893;1;8.909;1;8.924;3;8.939;1; 8.953 ;3;8.930;16
PEDERNEIRAS;3536703;8;43.245;3;41530;6;41.872;9;42.235;14;44.073;7;44.498;9;44.910;7;45.314;6; 45.708 ;7;46.251;76
PEDRA BELA;3536802;1;6.142;-;5780;2;5.793;3;5.806;2;6.009;-;6.027;3;6.044;-;6.062;-; 6.078 ;1;6.075;12
PEDRANÓPOLIS;3536901;-;2.834;2;2561;1;2.544;-;2.532;1;2.595;1;2.582;-;2.570;-;2.558;1; 2.547 ;-;2.508;6
PEDREGULHO;3537008;-;15.777;-;15699;3;15.754;1;15.807;2;16.382;1;16.450;2;16.517;-;16.582;-; 16.645 ;-;16.676;9
PEDREIRA;3537107;13;40.752;6;41549;17;42.045;10;42.516;2;44.509;9;45.052;12;45.579;3;46.094;11; 46.598 ;11;47.361;94
PEDRINHAS PAULISTA;3537156;-;2.927;2;2936;-;2.946;-;2.952;1;3.054;-;3.062;-;3.071;-;3.079;-; 3.087 ;-;3.085;3
PEDRO DE TOLEDO;3537206;4;10.254;-;10213;2;10.282;4;10.358;2;10.791;5;10.880;8;10.967;7;11.053;7; 11.136 ;5;11.240;44
PENÁPOLIS;3537305;10;59.597;11;58529;17;58.807;7;59.096;22;61.371;17;61.726;17;62.071;15;62.409;10; 62.738 ;8;63.047;134
PEREIRA BARRETO;3537404;1;24.777;8;24959;4;24.957;3;24.953;3;25.742;5;25.755;8;25.767;5;25.779;3; 25.790 ;5;25.660;45
PEREIRAS;3537503;4;8.076;5;7468;2;7.548;2;7.640;3;8.006;2;8.111;4;8.213;2;8.312;6; 8.410 ;-;8.560;30
PERUÍBE;3537602;66;57.686;65;59793;57;60.412;67;61.030;56;63.815;63;64.531;61;65.226;92;65.907;106; 66.572 ;95;67.548;728
PIACATU;3537701;-;5.472;3;5287;1;5.338;2;5.387;-;5.626;2;5.683;-;5.739;-;5.793;-; 5.846 ;-;5.922;8
PIEDADE;3537800;11;49.508;7;52214;8;52.297;12;52.447;5;54.323;17;54.523;6;54.717;10;54.907;13; 55.092 ;12;55.149;101
PILAR DO SUL;3537909;2;28.455;4;26411;6;26.595;3;26.778;3;27.880;9;28.097;4;28.309;15;28.516;6; 28.718 ;5;28.963;57
PINDAMONHANGABA;3538006;36;144.613;29;147034;28;148.604;28;150.162;32;157.062;42;158.864;30;160.614;34;162.327;39; 164.000 ;47;166.475;345
PINDORAMA;3538105;1;15.377;3;15043;2;15.187;-;15.331;4;16.013;2;16.180;4;16.342;1;16.501;2; 16.656 ;2;16.877;21
PINHALZINHO;3538204;-;12.591;2;13104;2;13.268;3;13.425;1;14.067;3;14.247;4;14.423;3;14.595;1; 14.763 ;5;15.021;24
PIQUEROBI;3538303;-;3.781;1;3541;-;3.542;-;3.546;1;3.665;1;3.672;-;3.679;-;3.686;2; 3.693 ;2;3.685;7
PIQUETE;3538501;1;14.709;1;14107;1;14.023;5;13.942;5;14.278;-;14.199;3;14.123;3;14.048;5; 13.976 ;1;13.742;25
PIRACAIA;3538600;16;22.740;6;25139;8;25.252;10;25.384;13;26.371;9;26.532;6;26.688;5;26.841;7; 26.991 ;6;27.140;86
PIRACICABA;3538709;151;368.843;143;364872;170;367.289;200;369.919;199;385.287;194;388.412;215;391.449;215;394.419;219; 397.322 ;189;400.949;1895
PIRAJU;3538808;7;29.398;2;28489;7;28.519;4;28.563;13;29.532;6;29.599;4;29.664;7;29.728;8; 29.790 ;8;29.741;66
PIRAJUÍ;3538907;33;22.192;35;22724;39;22.904;71;23.098;46;24.098;48;24.325;55;24.546;51;24.762;75; 24.973 ;74;25.259;527
PIRANGI;3539004;2;10.807;-;10623;-;10.668;1;10.712;2;11.112;1;11.167;-;11.220;-;11.272;1; 11.323 ;1;11.362;8
PIRAPORA DO BOM JESUS;3539103;7;15.706;5;15727;11;15.989;15;16.238;9;17.091;7;17.372;7;17.646;10;17.913;6; 18.174 ;6;18.604;83
PIRAPOZINHO;3539202;11;25.236;5;24718;3;24.893;6;25.086;3;26.146;8;26.374;6;26.594;4;26.810;7; 27.021 ;2;27.295;55
PIRASSUNUNGA;3539301;20;71.470;23;70138;28;70.481;30;70.869;16;73.656;31;74.128;17;74.587;25;75.035;21; 75.474 ;27;75.930;238
PIRATININGA;3539400;2;11.989;2;12072;3;12.186;5;12.297;4;12.839;3;12.968;1;13.093;4;13.216;3; 13.335 ;2;13.503;29
PITANGUEIRAS;3539509;12;35.441;4;35314;10;35.626;12;35.934;11;37.499;13;37.860;11;38.211;7;38.554;11; 38.889 ;18;39.349;109
PLANALTO;3539608;-;4.302;-;4472;-;4.524;2;4.583;1;4.808;1;4.876;1;4.941;3;5.005;1; 5.067 ;-;5.167;9
PLATINA;3539707;-;3.407;-;3192;-;3.217;-;3.242;-;3.378;-;3.406;1;3.434;-;3.461;1; 3.488 ;-;3.521;2
POÁ;3539806;36;112.481;48;106033;52;106.797;46;107.556;43;112.015;40;112.917;45;113.793;38;114.650;44; 115.488 ;50;116.530;442
POLONI;3539905;-;5.100;-;5395;2;5.443;-;5.489;-;5.726;1;5.780;3;5.833;3;5.884;1; 5.935 ;-;6.004;10
POMPÉIA;3540002;3;20.168;1;19963;5;20.102;3;20.235;1;21.060;6;21.220;1;21.375;5;21.526;2; 21.674 ;1;21.851;28
PONGAÍ;3540101;2;3.510;-;3479;-;3.465;-;3.449;-;3.537;2;3.523;-;3.508;-;3.494;1; 3.480 ;2;3.432;7
PONTAL;3540200;10;39.272;12;40245;18;41.055;10;41.840;13;44.236;9;45.119;21;45.978;15;46.818;21; 47.638 ;26;49.047;155
PONTALINDA;3540259;1;4.200;2;4074;1;4.115;1;4.155;-;4.341;-;4.388;-;4.433;2;4.476;2; 4.519 ;-;4.580;9
PONTES GESTAL;3540309;-;2.557;-;2523;1;2.516;1;2.515;-;2.593;-;2.593;2;2.593;-;2.593;1; 2.594 ;-;2.577;5
POPULINA;3540408;1;4.253;-;4223;-;4.206;1;4.189;-;4.299;-;4.284;1;4.269;-;4.254;2; 4.240 ;1;4.186;6
PORANGABA;3540507;1;8.946;1;8333;4;8.454;3;8.579;3;9.021;3;9.162;1;9.299;2;9.434;2; 9.565 ;2;9.779;22
PORTO FELIZ;3540606;5;47.964;9;48914;19;49.152;13;49.404;16;51.320;16;51.628;31;51.928;37;52.221;45; 52.507 ;37;52.785;228
PORTO FERREIRA;3540705;13;51.090;9;51407;19;51.704;14;51.999;11;54.056;4;54.413;8;54.761;9;55.100;10; 55.432 ;11;55.787;108
POTIM;3540754;61;20.668;75;19413;74;19.842;75;20.272;86;21.501;74;21.984;50;22.453;88;22.911;92; 23.360 ;59;24.143;734
POTIRENDABA;3540804;3;15.128;3;15453;4;15.587;4;15.720;4;16.401;4;16.557;3;16.709;1;16.857;1; 17.002 ;9;17.201;36
PRACINHA;3540853;8;3.271;12;2863;11;2.968;18;3.074;12;3.315;17;3.433;24;3.547;24;3.659;16; 3.768 ;17;3.971;159
PRADÓPOLIS;3540903;3;16.619;1;17404;1;17.720;1;18.052;1;19.077;1;19.450;-;19.814;1;20.169;1; 20.516 ;1;21.110;11
PRAIA GRANDE;3541000;202;249.551;286;260769;288;267.306;290;272.390;278;287.967;320;293.695;310;299.261;306;304.705;347; 310.024 ;359;319.146;2986
PRATÂNIA;3541059;-;4.614;1;4599;1;4.649;1;4.697;-;4.912;1;4.967;-;5.021;2;5.074;3; 5.126 ;2;5.204;11
PRESIDENTE ALVES;3541109;1;4.517;-;4123;2;4.108;1;4.094;2;4.205;1;4.192;1;4.179;-;4.167;-; 4.155 ;1;4.108;9
PRESIDENTE BERNARDES;3541208;5;15.382;3;13544;7;13.486;45;13.406;41;13.724;54;13.645;55;13.568;47;13.494;89; 13.420 ;48;13.190;394
PRESIDENTE EPITÁCIO;3541307;8;40.891;7;41324;13;41.473;12;41.624;15;43.155;9;43.348;6;43.535;9;43.718;10; 43.897 ;9;44.006;98
PRESIDENTE PRUDENTE;3541406;67;207.725;78;207625;73;209.024;96;210.393;71;218.960;60;220.599;64;222.192;104;223.749;69; 225.271 ;95;227.072;777
PRESIDENTE VENCESLAU;3541505;16;38.439;19;37915;21;37.953;19;37.996;23;39.265;24;39.337;25;39.407;20;39.476;25; 39.544 ;22;39.448;214
PROMISSÃO;3541604;6;37.570;12;35688;5;36.025;7;36.364;1;37.985;12;38.380;4;38.764;4;39.139;5; 39.506 ;8;40.027;64
QUADRA;3541653;-;2.789;1;3236;-;3.281;1;3.325;-;3.489;-;3.539;-;3.587;2;3.634;1; 3.680 ;1;3.753;6
QUATÁ;3541703;-;12.539;3;12828;4;12.887;2;12.972;3;13.501;2;13.603;1;13.702;3;13.798;2; 13.893 ;-;14.006;20
QUEIROZ;3541802;1;2.875;1;2808;1;2.857;-;2.905;2;3.060;1;3.114;1;3.166;2;3.217;1; 3.267 ;-;3.351;10
QUELUZ;3541901;8;11.197;4;11325;5;11.478;4;11.641;4;12.234;3;12.419;1;12.600;3;12.777;1; 12.949 ;2;13.228;35
QUINTANA;3542008;1;5.948;2;6008;1;6.047;2;6.089;1;6.339;1;6.389;1;6.437;2;6.484;-; 6.530 ;1;6.587;12
RAFARD;3542107;1;8.364;3;8624;3;8.631;3;8.651;3;8.952;1;8.979;1;9.004;-;9.030;1; 9.054 ;3;9.050;19
RANCHARIA;3542206;11;29.149;8;28773;8;28.806;9;28.809;14;29.732;9;29.755;6;29.778;8;29.799;12; 29.821 ;8;29.688;93
REDENÇÃO DA SERRA;3542305;1;4.245;-;3879;-;3.860;-;3.847;-;3.952;-;3.941;-;3.930;-;3.919;1; 3.908 ;-;3.863;2
REGENTE FEIJÓ;3542404;6;17.725;2;18496;7;18.609;3;18.720;4;19.468;6;19.602;6;19.733;3;19.860;3; 19.985 ;2;20.124;42
REGINÓPOLIS;3542503;25;8.172;11;7325;9;7.521;20;7.713;21;8.218;13;8.432;18;8.640;21;8.844;30; 9.042 ;25;9.399;193
REGISTRO;3542602;16;55.168;32;54279;31;54.300;33;54.338;42;56.123;31;56.203;35;56.280;30;56.356;40; 56.430 ;43;56.249;333
RESTINGA;3542701;-;6.897;2;6587;1;6.664;-;6.739;1;7.054;1;7.139;-;7.223;-;7.304;-; 7.384 ;-;7.504;5
RIBEIRA;3542800;3;3.545;2;3358;1;3.347;-;3.336;2;3.427;2;3.418;1;3.408;-;3.399;2; 3.390 ;-;3.351;13
RIBEIRÃO BONITO;3542909;2;4.663;6;12129;1;12.203;2;12.270;3;12.750;-;12.831;1;12.909;1;12.986;4; 13.060 ;1;13.137;21
RIBEIRÃO BRANCO;3543006;1;2.317;1;18272;-;18.042;-;17.822;-;18.093;2;17.866;2;17.646;1;17.430;2; 17.220 ;4;16.684;13
RIBEIRÃO CORRENTE;3543105;-;11.857;-;4273;-;4.303;-;4.333;-;4.510;1;4.545;-;4.579;-;4.612;1; 4.644 ;-;4.682;2
RIBEIRÃO DO SUL;3543204;1;18.607;-;4464;-;4.442;-;4.439;-;4.575;-;4.574;1;4.573;-;4.572;-; 4.571 ;3;4.542;5
RIBEIRÃO DOS ÍNDIOS;3543238;-;4.216;3;2187;-;2.184;1;2.182;1;2.248;-;2.247;1;2.245;-;2.244;-; 2.243 ;-;2.227;6
